Quarter Year,Antrim and Newtownabbey RPPI,Antrim and Newtownabbey Standardised Price,Ards and North Down RPPI,Ards and North Down Standardised Price,Armagh City Banbridge and Craigavon RPPI,Armagh City Banbridge and Craigavon Standardised Price,Belfast RPPI,Belfast Standardised Price,Causeway Coast and Glens RPPI,Causeway Coast and Glens Standardised Price,Derry City and Strabane RPPI,Derry City and Strabane Standardised Price,Fermanagh and Omagh RPPI,Fermanagh and Omagh Standardised Price,Lisburn and Castlereagh RPPI,Lisburn and Castlereagh Standardised Price,Mid and East Antrim RPPI,Mid and East Antrim Standardised Price,Mid Ulster Average RPPI,Mid Ulster Standardised Price,Newry Mourne and Down RPPI,Newry Mourne and Down Standardised Price
Q1 2005,99.90327651,114851.5283,97.15060247,130398.5697,102.2455974,100785.146,99.83984851,105516.5044,111.2582053,120121.3222,100.2860477,94944.04115,109.4292366,104874.9802,95.95832158,128828.3275,102.2464266,105865.4089,102.7147785,114882.2112,100.8107726,113420.8802
Q2 2005,99.72350908,114644.8627,100.7944724,135289.4856,106.3258426,104807.11,100.5898698,106309.1702,115.4969388,124697.7242,105.0608921,99464.54063,117.23985,112360.5293,100.1644373,134475.2255,104.443325,108140.0659,110.3863108,123462.5013,111.965743,125971.1914
Q3 2005,107.940849,124091.7406,102.1679707,137133.0378,110.0062125,108434.9103,109.6148608,115847.3007,124.7709988,134710.5798,111.9758084,106011.1153,125.9001448,120660.3976,106.7578954,143327.2371,112.7482782,116738.9704,117.5957233,131525.9296,117.2356846,131900.3337
Q4 2005,111.9346959,128683.1757,106.3963786,142808.5388,116.0730314,114415.0723,110.7282374,117023.9811,129.034769,139314.013,117.052017,110816.9259,130.7813153,125338.4222,111.3071163,149434.7692,114.5840896,118639.7599,121.8519993,136286.3975,123.6280468,139092.2967
Q1 2006,113.4943511,130476.1978,109.2061603,146579.9155,121.8310581,120090.8527,112.3265818,118713.2037,134.291764,144989.7939,124.2698661,117650.2968,135.5557489,129914.1521,110.5392123,148403.8238,115.8789749,119980.4773,129.5447021,144890.3659,127.4496125,143391.8902
Q2 2006,124.2557265,142847.7682,116.8788968,156878.5019,134.5510577,132629.1629,127.0945862,134320.8816,144.9522554,156499.5277,135.3236504,128115.2716,148.5626097,142379.6898,123.4655574,165758.0187,126.6687812,131152.1855,136.3460625,152497.4048,136.0002242,153012.0715
Q3 2006,139.4952872,160367.5824,130.7150953,175449.8792,151.4330696,149270.0362,143.119908,151257.365,157.5619515,170113.7448,150.9468264,142906.237,166.9983219,160048.1393,138.5526114,186013.0617,140.6186393,145595.7948,147.4036203,164864.8236,150.7386004,169594.0256
Q4 2006,157.0563281,180556.2334,147.4437928,197903.6588,173.2404566,170765.9318,161.735357,170931.2441,172.3783434,186110.4489,161.4758474,152874.4014,177.9054068,170501.2902,155.7280178,209071.8111,158.1008162,163696.7483,166.3438229,186048.6532,172.1482622,193681.7557
Q1 2007,173.1024115,199003.2479,165.8271695,222578.4006,197.2269683,194409.8259,176.459684,186492.7613,195.6856838,211274.5124,170.7383084,161643.4724,194.7588568,186653.3286,175.335754,235396.0716,177.7260612,184016.623,181.3857723,202872.4485,184.1181897,207148.9644
Q2 2007,189.8426178,218248.2451,184.4551384,247581.4416,210.7842596,207773.4682,193.3029993,204293.7474,215.3131059,232465.5058,183.2101372,173450.9557,198.7242653,190453.7036,192.398489,258303.5545,195.7858636,202715.6469,200.3087264,224036.9863,198.1064804,222887.0072
Q3 2007,199.3566202,229185.8015,192.1857034,257957.6471,215.13841,212065.4249,202.1331224,213625.9302,221.4852381,239129.326,190.6030068,180450.0241,201.264197,192887.9277,201.6421691,270713.6075,201.9767338,209125.6411,194.9202239,218010.1701,213.5363332,240246.9325
Q4 2007,188.6771722,216908.4172,200.6771446,269355.1244,192.895423,190140.1514,185.6139877,196167.5569,210.4998759,227268.8414,188.3626438,178329.0001,202.6839768,194248.6188,196.5315351,263852.3533,197.2581469,204240.0411,178.2245627,199336.7669,203.8732739,229375.1509
Q1 2008,172.5618078,198381.7552,191.7185996,257330.6858,187.1591093,184485.7738,167.9334375,177481.7326,194.4373201,209926.7008,179.0682813,169529.7269,194.4842214,186390.123,170.7459619,229234.071,181.2934382,187710.2663,169.34867,189409.4498,181.8545165,204602.1353
Q2 2008,166.8513572,191816.8656,174.5888679,234338.6255,163.9819341,161639.6558,159.3722919,168433.8207,188.7788426,203817.4543,162.9526585,154272.5461,177.2517779,169874.8641,165.6645249,222412.0151,177.4474768,183728.1782,153.303208,171463.2673,173.7758523,195512.936
Q3 2008,151.8277833,174545.3558,144.0635839,193366.637,148.607335,146484.6638,149.2377015,157723.0017,173.1538087,186947.6897,152.2971294,144184.6125,149.0958045,142890.6939,142.0926598,190765.7346,163.0541334,168825.3867,145.1227096,162313.7199,160.9866401,181123.9609
Q4 2008,129.8824699,149316.4257,141.2416911,189579.0045,140.9670032,138953.4646,127.3308062,134570.5325,148.6525845,160494.6346,151.6680045,143588.9996,154.7685944,148327.3921,132.0143086,177235.0986,142.7315061,147783.4459,132.3492915,148027.1825,155.7831274,175269.5568
Q1 2009,122.1580337,140436.2033,132.6361015,178028.3137,126.9389805,125125.8148,120.7352216,127599.9387,135.0491904,145807.5588,130.0844882,123155.1874,131.2030379,125742.5935,119.5592857,160513.6747,131.4319869,136083.9836,108.7445962,121626.3118,143.0984586,160998.2021
Q2 2009,125.938746,144782.6132,127.5769139,171237.7142,130.1059392,128247.5374,126.9948765,134215.5026,130.7361889,141150.9724,127.0010314,120235.9793,133.679077,128115.584,123.1666636,165356.7405,129.6597344,134249.0027,113.5108677,126957.1884,135.9751079,152983.8134
Q3 2009,128.1271035,147298.4086,129.2863545,173532.1786,126.8740015,125061.7639,129.4407493,136800.442,128.7290003,138983.886,126.3102035,119581.9502,131.0492934,125595.2475,121.8666042,163611.3527,130.9818947,135617.9604,116.4229924,130214.2788,135.2766927,152198.0357
Q4 2009,129.4517393,148821.2461,126.4234418,169689.4879,125.2022549,123413.8962,127.4133762,134657.7972,135.3829227,146167.8771,128.8809362,122015.7459,133.9589924,128383.8499,124.0921009,166599.1813,132.8206387,137521.7863,115.0659464,128696.4793,134.5808623,151415.166
Q1 2010,122.3449635,140651.103,123.9729971,166400.4246,122.1676349,120422.6219,121.6099809,128524.4348,125.8620708,135888.5694,125.8549179,119150.9167,126.5461194,121279.4879,120.7447051,162105.1531,121.6082774,125912.5667,109.6034073,122586.8563,127.1254203,143027.1459
Q2 2010,120.930592,139025.103,123.5906307,165887.2005,117.9766701,116291.5198,119.9747348,126796.2124,128.9234775,139193.8558,117.9797043,111695.1975,122.9525997,117835.5242,119.1089709,159909.107,129.4233858,134004.2886,108.7633182,121647.2516,124.470632,140040.2782
Q3 2010,121.5873334,139780.1108,122.6938471,164683.5096,118.9123193,117213.8045,116.1585356,122763.0332,118.7996805,128263.5708,115.9231536,109748.1945,128.3644294,123022.1229,120.0019442,161107.9635,122.955569,127307.5453,106.5879405,119214.182,123.3092419,138733.6134
Q4 2010,110.868333,127457.256,113.4589858,152288.1906,114.2051887,112573.9094,107.2011279,113296.3286,122.4872381,132244.8888,108.1101889,102351.4085,116.4043341,111559.7862,112.2560727,150708.7855,117.0464438,121189.2684,100.6374942,112558.8551,118.6354002,133475.1354
Q1 2011,106.5681709,122513.6724,108.3914942,145486.4453,110.1470348,108573.7212,101.2399522,106996.2147,118.4023256,127834.5617,113.1406711,107113.9285,115.1791039,110385.548,105.9267031,142211.3244,101.80306,105406.3495,102.7977354,114974.9951,112.1596044,126189.3023
Q2 2011,107.6021932,123702.4126,103.5595005,139000.7926,102.4336258,100970.4886,101.5522136,107326.2305,112.5271137,121491.3152,105.4237951,99808.11264,124.860384,119663.9098,100.5403958,134979.9665,111.8054068,115762.7264,98.51207814,110181.6655,111.8931886,125889.5613
Q3 2011,107.6205454,123723.5108,103.3046076,138658.6673,104.616763,103122.4424,100.3887733,106096.6398,105.9309648,114369.6999,101.4753388,96069.98149,109.7570809,105189.1802,101.8408523,136725.8874,109.0698684,112930.3644,93.78610837,104895.8648,109.7300506,123455.8431
Q4 2011,99.6960809,114613.3306,104.57366,140362.029,99.52957324,98107.91688,97.13689678,102659.8693,108.7462236,117409.2295,95.88697608,90779.29797,107.3144664,102848.2232,99.67956896,133824.2681,105.7823055,109526.4392,89.29077615,99868.02247,108.3286225,121879.1148
Q1 2012,93.95011466,108007.6112,95.38496003,128028.6693,95.40654748,94043.78342,88.50911385,93541.53121,97.9401857,105742.3546,98.31086239,93074.06945,101.898198,97657.37049,94.28332735,126579.573,98.68393614,102176.8251,85.43878938,95559.73534,102.4643882,115281.3416
Q2 2012,94.48949505,108627.6976,93.77591018,125868.9524,94.71269863,93359.84534,90.17094791,95297.8532,101.072735,109124.4509,96.39902087,91264.06732,98.78379777,94672.58624,93.64323634,125720.2223,102.5073082,106135.5244,89.94127777,100595.5815,95.44854276,107387.9057
Q3 2012,94.1566237,108245.0196,93.79268681,125891.4705,88.0406944,86783.1424,88.75121263,93797.39514,95.04768137,102619.4259,91.48140584,86608.4023,98.97472426,94855.5667,93.61781093,125686.0875,97.08931946,100525.7675,84.64833075,94675.64022,95.28938784,107208.8425
Q4 2012,92.13684378,105923.0256,91.98828497,123469.5461,85.75230752,84527.44229,85.56593366,90431.0088,93.9187917,101400.606,91.08213596,86230.40061,93.08512137,89211.07893,92.82979552,124628.1417,95.42372196,98801.21663,81.33656109,90971.56348,93.45113555,105140.649
Q1 2013,88.92698409,102232.8835,88.86737543,119280.5639,86.39866054,85164.56296,83.16164902,87890.02227,91.94279092,99267.19186,87.35867067,82705.27572,95.46729406,91494.1097,90.0309989,120870.6324,93.71788869,97035.00589,83.34856106,93221.90184,88.28224909,99325.20248
Q2 2013,90.76153019,104341.9277,90.01345642,120818.8696,88.02108407,86763.81218,85.78378795,90661.24977,92.88347452,100282.8127,90.24028336,85433.39155,94.72851149,90786.07399,90.91214596,122053.6116,94.42919164,97771.48521,85.86597287,96037.52233,88.95143204,100078.0915
Q3 2013,91.41480361,105092.9486,91.08975254,122263.5078,88.77280443,87504.79515,88.75401142,93800.35307,94.70374871,102248.0947,91.26889127,86407.20789,102.3845202,98123.45283,92.51487036,124205.3406,94.08562425,97415.75734,88.0471301,98477.05605,90.77451789,102129.2215
Q4 2013,92.28828655,106097.1284,92.19039164,123740.8199,92.05399621,90739.11918,90.4562889,95599.41799,95.23592741,102822.6681,90.68726155,85856.56024,93.4313731,89542.92026,92.68070502,124427.9811,95.80900902,99200.14082,87.23841507,97572.54189,88.88265619,100000.7127
Q1 2014,93.92972084,107984.1659,94.01062641,126183.9958,92.75882934,91433.88465,91.04705274,96223.77126,91.91871573,99241.19877,91.14845298,86293.18507,96.41896605,92406.17474,93.76737299,125886.8813,98.31656433,101796.4503,91.59605083,102446.3764,96.83483293,108947.6026
Q2 2014,96.91493362,111416.0479,95.87298326,128683.7093,94.65935291,93307.2616,95.46388342,100891.7324,98.81238103,106684.0313,92.26649232,87351.66903,103.1543139,98861.20903,97.93349996,131480.0926,99.36838655,102885.5015,92.22003999,103144.2823,98.35070004,110653.0848
Q3 2014,99.07544731,113899.8333,97.21859978,130489.8378,96.97103821,95585.92734,97.84920799,103412.6809,103.0449481,111253.7757,96.19580661,91071.67781,102.3022898,98044.64469,96.63973773,129743.1591,101.1507535,104730.9547,92.09764913,103007.3933,101.6441652,114358.5194
Q4 2014,99.57125336,114469.8254,98.83847347,132664.0828,99.20677104,97789.72551,99.43356197,105087.1174,101.4507733,109532.6047,98.2766025,93041.6345,102.6519185,98379.72245,101.2188385,135890.8062,100.4574749,104013.1377,98.13263493,109757.2741,100.5673821,113147.0447
Q1 2015,100,114962.7242,100,134223.1199,100,98571.62418,100,105685.7618,100,107966.2591,100,94673.23059,100,95838.17223,100,134254.4611,100,103539.4707,100,111845.8443,100,112508.6906
Q2 2015,104.1080827,119685.488,101.2334286,135878.6663,102.2699833,100809.1836,102.5007331,108328.6806,105.9210396,114358.984,99.67804991,94368.43004,104.5966094,100243.4786,103.2043428,138556.4343,105.3972761,109127.7818,104.1090842,116441.6843,103.4674278,116409.8482
Q3 2015,105.6192688,121422.7888,104.1740816,139825.7025,105.6582067,104149.0104,106.7731989,112844.0686,110.0073848,118770.858,103.635692,98115.25766,110.7752677,106164.9918,104.9847889,140946.7626,104.8650383,108576.7056,104.0813069,116410.6165,107.9643209,121469.2438
Q4 2015,106.71047,122677.2634,104.5052255,140270.1742,108.2337508,106687.766,106.9338051,113013.8065,109.5226531,118247.5114,103.1883758,97691.76897,116.6005398,111747.8261,106.5858505,143096.2592,107.033646,110822.0705,103.2361855,115465.3833,108.949598,122577.7661
Q1 2016,105.021341,120735.3946,104.1382259,139777.5758,109.260114,107699.469,105.0102196,110980.8505,113.6304871,122682.5861,106.6426522,100962.044,114.7562492,109980.2917,106.0240358,142341.9979,106.907315,110691.2681,109.4773674,122445.8859,107.3282836,120753.6466
Q2 2016,111.3995259,128067.9297,106.0533522,142348.1181,112.9569992,111343.5487,112.7928697,119206.0036,113.7412263,122802.1471,108.4198836,102644.6064,114.7664151,109990.0346,110.9450685,148948.7038,112.4487943,116428.8864,106.4870703,119101.3628,110.4850252,124305.2551
Q3 2016,113.8560129,130891.9742,106.0533679,142348.1391,111.8885944,110290.4048,112.382334,118772.1258,117.0264755,126349.1077,111.6216994,105675.8689,117.5779392,112684.5479,111.9870992,150347.6765,114.8746271,118940.5808,110.9703865,124115.7658,113.9890849,128247.6269
Q4 2016,113.9884526,131044.2304,106.6721211,143178.6491,112.8493119,111237.3996,112.6795024,119086.1905,118.7749153,128236.8328,113.5594532,107510.4029,117.9905722,113080.0078,110.7470136,148682.8063,114.8931599,118959.7696,110.5024012,123592.3436,113.0237674,127161.5608
Q1 2017,112.5009613,129334.1699,106.8334625,143395.2065,115.5079824,113858.0943,110.6093547,116898.3391,118.8472912,128314.9743,115.477363,109326.1501,117.0391403,112168.1728,110.0909586,147802.0231,112.5068863,116489.0346,110.7170118,123832.3766,115.3968861,129831.5256
Q2 2017,116.8984616,134389.656,109.995415,147639.2779,117.0766641,115404.3693,113.876214,120350.9443,122.6919857,132465.9472,116.1244508,109938.7691,123.5946972,118450.8987,115.2317694,154703.791,115.7846961,119882.8615,116.1310571,129887.7613,118.5633655,133394.09
